AdmitTerm,School,Program,NationalStatus,AdmissionPathway,Enrolled,Retained
Fall 2016,School D,KUY,DOMESTIC,Transfer,42,30

Fall 2016,School D,KUY,INTERNATIONAL,Direct Entry,1,1

Fall 2016,School D,LBW,DOMESTIC,Direct Entry,21,20

Fall 2016,School D,LBW,DOMESTIC,Transfer,9,8

Fall 2016,School D,LBW,INTERNATIONAL,Direct Entry,1,1

Fall 2016,School D,LBW,INTERNATIONAL,Transfer,1,0

Fall 2016,School D,MFQ,DOMESTIC,Direct Entry,11,9

Fall 2016,School D,MFQ,DOMESTIC,Transfer,6,5

Fall 2016,School D,MFQ,INTERNATIONAL,Direct Entry,3,3

Fall 2016,School D,RFI,DOMESTIC,Direct Entry,17,17

Fall 2016,School D,RFI,DOMESTIC,Transfer,7,6

Fall 2016,School D,RFI,INTERNATIONAL,Direct Entry,1,1

Fall 2016,School D,RFI,INTERNATIONAL,Transfer,1,0

Fall 2016,School D,RNV,DOMESTIC,Direct Entry,13,12

Fall 2016,School D,RNV,DOMESTIC,Transfer,7,6

Fall 2016,School D,THM,DOMESTIC,Direct Entry,28,26

Fall 2016,School D,THM,DOMESTIC,Transfer,9,8

Fall 2016,School D,UKS,DOMESTIC,Direct Entry,14,12

Fall 2016,School D,XLL,DOMESTIC,Direct Entry,26,24

Fall 2016,School D,XLL,DOMESTIC,Foundation,8,8

Fall 2016,School D,XLL,DOMESTIC,Transfer,1,0

Fall 2016,School D,ZCU,DOMESTIC,Direct Entry,14,13

Fall 2016,School D,ZCU,DOMESTIC,Transfer,6,5

Fall 2016,School D,ZCU,INTERNATIONAL,Direct Entry,1,1

Fall 2016,School E,EDB,DOMESTIC,Direct Entry,14,13

Fall 2016,School E,EDB,INTERNATIONAL,Direct Entry,1,1

Fall 2016,School E,FCT,DOMESTIC,Direct Entry,12,12

Fall 2016,School E,FCT,DOMESTIC,Transfer,8,7

Fall 2016,School E,FCT,INTERNATIONAL,Direct Entry,4,4

Fall 2016,School E,LOC,DOMESTIC,Direct Entry,12,7

Fall 2016,School E,LOC,DOMESTIC,Foundation,6,4

Fall 2016,School E,LOC,DOMESTIC,Transfer,1,0

Fall 2016,School E,LOC,INTERNATIONAL,Direct Entry,1,1

Fall 2016,School E,NGF,DOMESTIC,Direct Entry,51,42

Fall 2016,School E,NGF,DOMESTIC,Foundation,12,11

Fall 2016,School E,NGF,DOMESTIC,Transfer,3,2

Fall 2016,School E,NGF,INTERNATIONAL,Direct Entry,7,7

Fall 2016,School E,PEW,DOMESTIC,Direct Entry,49,41

Fall 2016,School E,PEW,DOMESTIC,Transfer,28,24

Fall 2016,School E,PEW,INTERNATIONAL,Direct Entry,5,5

Fall 2016,School E,UQB,DOMESTIC,Direct Entry,12,10

Fall 2016,School E,UQB,DOMESTIC,Transfer,8,7

Fall 2016,School E,UQB,INTERNATIONAL,Direct Entry,3,3

Fall 2016,School F,EGJ,DOMESTIC,Direct Entry,23,22

Fall 2016,School F,EGJ,DOMESTIC,Foundation,8,8

Fall 2016,School F,EGJ,DOMESTIC,Transfer,3,2

Fall 2016,School F,KAU,DOMESTIC,Direct Entry,18,15

Fall 2016,School F,KAU,DOMESTIC,Transfer,9,8

Fall 2016,School F,KAU,INTERNATIONAL,Direct Entry,2,2

Fall 2016,School F,KOK,DOMESTIC,Direct Entry,11,8

Fall 2016,School F,KOK,DOMESTIC,Transfer,8,7

Fall 2016,School F,KOK,INTERNATIONAL,Direct Entry,2,2

Fall 2016,School F,LNT,DOMESTIC,Direct Entry,17,12

Fall 2016,School F,LNT,DOMESTIC,Transfer,8,6

Fall 2016,School F,PFB,DOMESTIC,Direct Entry,141,122

Fall 2016,School F,PFB,DOMESTIC,Transfer,89,76

Fall 2016,School F,PFB,INTERNATIONAL,Direct Entry,16,16

Fall 2016,School F,PFB,INTERNATIONAL,Foundation,5,5

Fall 2016,School F,PFB,INTERNATIONAL,Transfer,1,0

Fall 2016,School F,RZP,DOMESTIC,Direct Entry,21,14

Fall 2016,School F,RZP,DOMESTIC,Transfer,14,10

Fall 2016,School F,RZP,INTERNATIONAL,Direct Entry,4,4

Fall 2016,School F,SYW,DOMESTIC,Direct Entry,33,22

Fall 2016,School F,SYW,DOMESTIC,Transfer,18,12

Fall 2016,School F,SYW,INTERNATIONAL,Direct Entry,3,2

Fall 2016,School F,SYW,INTERNATIONAL,Transfer,2,1

Fall 2016,School F,ZSW,DOMESTIC,Direct Entry,19,17

Fall 2016,School F,ZSW,DOMESTIC,Transfer,6,5

Fall 2016,School F,ZSW,INTERNATIONAL,Direct Entry,1,1

Fall 2016,School G,IWU,DOMESTIC,Direct Entry,12,9

Fall 2016,School G,IWU,DOMESTIC,Transfer,9,8

Fall 2016,School G,IWU,INTERNATIONAL,Direct Entry,1,1

Fall 2016,School G,IWU,INTERNATIONAL,Transfer,1,0

Fall 2017,School A,CTD,DOMESTIC,Direct Entry,150,124

Fall 2017,School A,CTD,DOMESTIC,Foundation,38,29

Fall 2017,School A,CTD,DOMESTIC,Transfer,15,10

Fall 2017,School A,CTD,INTERNATIONAL,Direct Entry,7,6

Fall 2017,School A,DIB,DOMESTIC,Direct Entry,21,12

Fall 2017,School A,DIB,DOMESTIC,Transfer,11,5

Fall 2017,School A,DIB,INTERNATIONAL,Direct Entry,9,8

Fall 2017,School A,HBP,DOMESTIC,Direct Entry,366,280

Fall 2017,School A,HBP,DOMESTIC,Transfer,140,105

Fall 2017,School A,HBP,INTERNATIONAL,Direct Entry,73,62

Fall 2017,School A,HBP,INTERNATIONAL,Transfer,31,24

Fall 2017,School A,YDD,DOMESTIC,Direct Entry,19,13

Fall 2017,School A,YDD,DOMESTIC,Transfer,6,4

Fall 2017,School A,YDD,INTERNATIONAL,Direct Entry,2,2

Fall 2017,School A,YDD,INTERNATIONAL,Transfer,2,1

Fall 2017,School A,ZVS,DOMESTIC,Direct Entry,7,5

Fall 2017,School A,ZVS,DOMESTIC,Transfer,3,2

Fall 2017,School A,ZVS,INTERNATIONAL,Direct Entry,2,1

Fall 2017,School B,AEX,DOMESTIC,Direct Entry,18,17

Fall 2017,School B,AEX,DOMESTIC,Transfer,6,5

Fall 2017,School B,AEX,INTERNATIONAL,Direct Entry,1,1

Fall 2017,School B,CCH,DOMESTIC,Direct Entry,6,1

Fall 2017,School B,DLF,DOMESTIC,Direct Entry,51,47

Fall 2017,School B,DLF,DOMESTIC,Foundation,18,17

Fall 2017,School B,DLF,DOMESTIC,Transfer,4,2

Fall 2017,School B,DLF,INTERNATIONAL,Direct Entry,2,2

Fall 2017,School B,ENR,DOMESTIC,Direct Entry,14,13

Fall 2017,School B,ENR,DOMESTIC,Transfer,10,9

Fall 2017,School B,ENR,INTERNATIONAL,Direct Entry,1,1

Fall 2017,School B,FJC,DOMESTIC,Direct Entry,20,18

Fall 2017,School B,FJC,DOMESTIC,Transfer,7,5

Fall 2017,School B,FJC,INTERNATIONAL,Direct Entry,3,3

Fall 2017,School B,GIZ,DOMESTIC,Direct Entry,33,25

Fall 2017,School B,GIZ,DOMESTIC,Transfer,9,6

Fall 2017,School B,GIZ,INTERNATIONAL,Direct Entry,4,4

Fall 2017,School B,JQP,DOMESTIC,Direct Entry,68,60

Fall 2017,School B,JQP,DOMESTIC,Transfer,22,18

Fall 2017,School B,JQP,INTERNATIONAL,Direct Entry,6,5

Fall 2017,School B,NSU,DOMESTIC,Direct Entry,9,7

Fall 2017,School B,UQU,DOMESTIC,Direct Entry,21,13

Fall 2017,School B,UQU,DOMESTIC,Transfer,7,3

Fall 2017,School B,UQU,INTERNATIONAL,Direct Entry,1,1

Fall 2017,School B,XEM,DOMESTIC,Direct Entry,54,46

Fall 2017,School B,XEM,DOMESTIC,Transfer,18,13

Fall 2017,School B,XEM,INTERNATIONAL,Direct Entry,5,4

Fall 2017,School C,AFX,DOMESTIC,Direct Entry,36,30

Fall 2017,School C,AFX,DOMESTIC,Transfer,10,7

Fall 2017,School C,AFX,INTERNATIONAL,Direct Entry,3,2

Fall 2017,School C,AFX,INTERNATIONAL,Transfer,3,2

Fall 2017,School C,CQK,DOMESTIC,Direct Entry,27,24

Fall 2017,School C,CQK,DOMESTIC,Transfer,14,12

Fall 2017,School C,CQK,INTERNATIONAL,Direct Entry,2,2

Fall 2017,School C,CQK,INTERNATIONAL,Transfer,2,1

Fall 2017,School C,FOR,DOMESTIC,Direct Entry,28,24

Fall 2017,School C,FOR,DOMESTIC,Transfer,15,12

Fall 2017,School C,FOR,INTERNATIONAL,Direct Entry,3,2

Fall 2017,School C,FOR,INTERNATIONAL,Transfer,1,0

Fall 2017,School C,HIQ,DOMESTIC,Direct Entry,16,14

Fall 2017,School C,HIQ,DOMESTIC,Foundation,4,4

Fall 2017,School C,HIQ,DOMESTIC,Transfer,1,0

Fall 2017,School C,HIQ,INTERNATIONAL,Direct Entry,1,1

Fall 2017,School C,LBR,DOMESTIC,Direct Entry,15,13

Fall 2017,School C,LBR,DOMESTIC,Transfer,9,7

