AdmitTerm,School,Program,NationalStatus,AdmissionPathway,Enrolled,Retained
Fall 2018,School D,JRA,DOMESTIC,Foundation,8,7

Fall 2018,School D,JRA,DOMESTIC,Transfer,1,0

Fall 2018,School D,JVH,DOMESTIC,Direct Entry,37,31

Fall 2018,School D,JVH,DOMESTIC,Transfer,25,20

Fall 2018,School D,JVH,INTERNATIONAL,Direct Entry,2,2

Fall 2018,School D,KUY,DOMESTIC,Direct Entry,83,62

Fall 2018,School D,KUY,DOMESTIC,Foundation,38,28

Fall 2018,School D,KUY,DOMESTIC,Transfer,11,7

Fall 2018,School D,KUY,INTERNATIONAL,Direct Entry,2,2

Fall 2018,School D,LBW,DOMESTIC,Direct Entry,19,18

Fall 2018,School D,LBW,DOMESTIC,Transfer,6,5

